StateCodes,State,Region,Division,Coast,Great Lakes,TotalC2010,TotalC2011,TotalC2012,TotalC2013,TotalC2014,TotalP2010,TotalP2011,TotalP2012,TotalP2013,TotalP2014,TotalE2010,TotalE2011,TotalE2012,TotalE2013,TotalE2014,TotalPrice2010,TotalPrice2011,TotalPrice2012,TotalPrice2013,TotalPrice2014,BiomassC2010,BiomassC2011,BiomassC2012,BiomassC2013,BiomassC2014,CoalC2010,CoalC2011,CoalC2012,CoalC2013,CoalC2014,CoalP2010,CoalP2011,CoalP2012,CoalP2013,CoalP2014,CoalE2010,CoalE2011,CoalE2012,CoalE2013,CoalE2014,CoalPrice2010,CoalPrice2011,CoalPrice2012,CoalPrice2013,CoalPrice2014,ElecC2010,ElecC2011,ElecC2012,ElecC2013,ElecC2014,ElecE2010,ElecE2011,ElecE2012,ElecE2013,ElecE2014,ElecPrice2010,ElecPrice2011,ElecPrice2012,ElecPrice2013,ElecPrice2014,FossFuelC2010,FossFuelC2011,FossFuelC2012,FossFuelC2013,FossFuelC2014,GeoC2010,GeoC2011,GeoC2012,GeoC2013,GeoC2014,GeoP2010,GeoP2011,GeoP2012,GeoP2013,GeoP2014,HydroC2010,HydroC2011,HydroC2012,HydroC2013,HydroC2014,HydroP2010,HydroP2011,HydroP2012,HydroP2013,HydroP2014,NatGasC2010,NatGasC2011,NatGasC2012,NatGasC2013,NatGasC2014,NatGasE2010,NatGasE2011,NatGasE2012,NatGasE2013,NatGasE2014,NatGasPrice2010,NatGasPrice2011,NatGasPrice2012,NatGasPrice2013,NatGasPrice2014,LPGC2010,LPGC2011,LPGC2012,LPGC2013,LPGC2014,LPGE2010,LPGE2011,LPGE2012,LPGE2013,LPGE2014,LPGPrice2010,LPGPrice2011,LPGPrice2012,LPGPrice2013,LPGPrice2014,GDP2014,CENSUS2010POP,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,NumberPolicies,RedBlue
AL,Alabama,3,6,1,0,1931522,1905207,1879716,1919365,1958221,1419613,1400108,1433370,1463647,1353725,21630.5,24447.7,24192.8,24127,24146.5,17.82,20.1,19.96,19.02,18.64,169088,179611,181878,194432,186649,718684,651032,547004,565051,575912,493094,468671,488084,469162,414366,2135.6,2009.7,1808.8,1731.6,1677.3,2.97,3.09,3.31,3.06,2.91,310023,303652,294055,299751,308765,7833,7846.1,7665.7,7901.4,8363.3,26.44,27.08,27.32,26.47,27.2,1785688,1783839,1740315,1689491,1724891,138,135,141,141,141,0,0,0,0,0,84919,86313,70754,123071,90030,8704,8884,7435,12899,9467,544405,609288,677380,625869,651532,3222.2,3122.6,2595.8,3090.9,3521.2,6.65,5.72,4.28,5.38,5.81,13088,10343,8628,9094,8460,316.7,273.8,212,221.7,226.6,24.2,26.48,24.58,24.45,26.79,197534.5,4779736,4785822,4801695,4817484,4833996,4849377,37,0
AK,Alaska,4,9,1,0,653221,653637,649341,621107,603119,1738207,1641980,1563102,1513859,1475129,6473.9,8050.4,7884.5,7281.9,6890.6,20.13,24.91,25.09,24.6,24.43,4178,4247,4032,5168,5476,14548,15481,15521,14819,18225,33556,33524,31332,24917,22944,49.9,59.6,63,72.6,88.8,3.43,3.85,4.06,4.9,4.87,21315,21562,21893,21387,21034,912.4,1004.6,1035,1005.2,1055.8,43.29,47.13,47.84,48.37,51.27,634777,635981,629768,600660,581369,153,214,186,186,186,0,0,0,0,0,13982,13066,14988,13696,14633,1433,1345,1575,1435,1539,334978,339819,347228,332963,329585,479.2,545.1,513.9,495.4,480.8,6.41,6.61,6.26,6.78,6.99,1353,1247,1314,1272,1190,35.6,36.9,36,33.2,32.9,26.79,29.78,27.47,26.07,27.65,58066.75,710231,713856,722572,731081,737259,736732,33,0
AZ,Arizona,4,8,0,0,1383531,1424944,1395839,1414383,1422590,580948,617956,598039,594994,635050,19372.7,22628.6,22872.4,22841.1,22609.6,22.25,25.62,26.41,26.05,25.94,29289,28565,27267,26492,31481,457909,459909,420570,454865,447849,167930,174841,161374,163691,173337,829.1,917.2,879.9,946.8,944.6,1.81,1.99,2.09,2.08,2.11,248506,255708,256116,258159,260328,7058.8,7278.6,7361,7669.3,7764.4,28.4,28.46,28.74,29.71,29.83,1292346,1253992,1248032,1289119,1256577,339,345,345,345,345,0,0,0,0,0,64606,89135,63918,56432,58185,6622,9174,6717,5915,6118,336208,293134,339043,340375,315448,2198.8,2084.4,1802.3,2026.2,2155.7,6.86,7.45,5.52,6.19,7.15,7838,8759,6522,7576,7373,219.9,279.9,188.4,223.3,223.2,28.05,31.96,28.88,29.47,30.28,281558.75,2915918,2922297,2938430,2949300,2958765,2966369,76,0
AR,Arkansas,3,7,0,0,1120632,1122544,1067642,1096438,1114409,1247709,1391190,1472778,1432074,1454325,12269.4,14178.8,13755.5,14102.1,13884.9,16.9,19.67,19.98,19.54,18.87,94865,97160,96248,95356,95963,293689,306119,296732,327099,339214,718,2985,2077,1433,1864,510.6,592.2,673.3,789.4,820.9,1.74,1.93,2.27,2.41,2.42,164439,163530,159885,159283,160638,3393.3,3446.6,3456.4,3686.7,3703.5,21.57,22.02,22.56,23.29,23.19,909827,932878,918078,936796,939788,773,750,808,808,808,0,0,0,0,0,35697,28738,20921,25329,25104,3659,2958,2198,2655,2640,274774,288906,300572,286352,274767,1791.7,1902.9,1496.5,1679,1849.4,7.23,7.36,5.53,6.44,7.44,10016,8992,7733,8864,9145,224.3,240.3,191,217.7,235.6,22.4,26.72,24.71,24.62,25.8,121064.75,6392017,6411999,6472867,6556236,6634997,6731484,48,0
CA,California,4,9,1,0,7760629,7777115,7564063,7665241,7620082,2532205,2634789,2334863,2390424,2413494,117090,135097.7,135932,137050.7,137719.8,20.97,24.35,24.97,24.85,25.31,280124,282581,280963,294412,298473,54972,55264,43832,38151,39486,0,0,0,0,0,161.4,173.1,133.6,129.5,135.3,2.94,3.13,3.05,3.39,3.43,882107,893745,885544,891666,895939,33381.8,33919.1,34852.5,37028.1,39424.1,38.23,38.35,39.75,42.01,44.49,5741492,5550201,5687343,5755210,5702418,124981,124092,121269,119556,117226,12600,12552,12519,12307,12102,326152,413488,255384,226643,157213,33431,42557,26837,23755,16531,2325411,2196252,2456371,2483208,2417476,14914.1,14353.7,13009.6,14808.6,16127.9,6.97,7.08,5.72,6.51,7.39,63022,62639,55405,54438,51472,1669.8,1921,1492.5,1493.1,1424.7,27.58,31.26,27.66,27.94,28.42,2324995.5,37253956,37336011,37701901,38062780,38431393,38802500,256,1
CO,Colorado,4,8,0,0,1513547,1470445,1440781,1470844,1477177,2561459,2750097,2921385,2838193,3041634,16888.5,19269.7,19295.6,19670.7,19994.4,17.4,21.28,21.81,21.14,21.25,28210,30883,30680,35382,36073,382623,368871,370085,363532,350526,551825,586847,629645,529096,528242,609.9,637,689.4,703.4,683.5,1.59,1.73,1.86,1.93,1.95,180555,182400,183174,182343,182189,4786.2,4963.2,4987.6,5258.2,5345.7,26.9,27.61,27.63,29.01,29.52,1370758,1304903,1282352,1303825,1313834,721,741,759,759,759,0,0,0,0,0,15398,20235,14247,11572,16831,1578,2083,1497,1213,1770,510877,481614,461056,487445,499668,2574,2334.4,2064.6,2355.3,2686.4,6.6,6.79,6.32,6.35,7.13,16395,16036,15118,17952,16341,365.4,412.2,332.3,423.8,419,22.53,25.76,22.09,23.81,25.76,305366.75,5029196,5048575,5119661,5191709,5272086,5355866,134,1
CT,Connecticut,1,1,1,0,764970,739130,725019,754901,750019,203188,195792,205073,207118,197271,14245,15498.1,15126.6,15364.3,15483.4,25.62,28.13,28.66,27.69,27.84,35716,33958,32800,34153,36011,28711,6081,9290,7679,9097,0,0,0,0,0,99.1,22.4,33.3,32.3,38.8,3.45,3.68,3.59,4.21,4.27,103697,101879,100628,101761,100157,5283.1,4881.5,4584.5,4669.1,5004,50.95,47.91,45.56,45.88,49.96,562060,557282,544358,560141,559695,20,19,21,21,21,0,0,0,0,0,3811,5513,2970,3835,4127,391,567,312,402,434,203814,236016,236260,241509,240614,1743.7,1788.9,1630.6,1922.3,2162,8.86,7.79,7.05,8.11,9.17,9425,10092,8988,10949,10083,270.2,323.1,281.3,330.7,329.9,28.67,32.01,31.29,30.21,32.71,250763.75,3574097,3579345,3590537,3594362,3599341,3596677,67,1
DE,Delaware,3,5,1,0,250212,272568,273728,273716,274013,3575,3976,3530,3818,4189,3584.1,3987.7,4040.4,3856.6,3848.5,23.5,25.32,24.83,24.28,23.77,6901,6781,5972,5977,6249,30253,17881,17384,18254,10238,0,0,0,0,0,101.3,61,58.3,58.4,31.5,3.35,3.41,3.35,3.2,3.08,39599,39181,39304,38719,38687,1389.5,1309.2,1266.4,1215.7,1239.2,35.09,33.73,32.48,32.11,33.16,171414,201518,221203,213411,213655,414,401,430,430,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56087,81710,104421,100106,106854,524.2,708.3,747.7,701.7,752.7,9.37,8.92,7.43,7.86,7.83,5323,4730,4306,4675,4872,145.8,143.4,129.8,139.5,154.3,27.4,30.31,30.15,29.84,31.67,65484.75,897934,899731,907829,916881,925240,935614,32,1
FL,Florida,3,5,1,0,4282673,4141711,4029903,4076406,4121680,510201,500907,442188,542570,553738,59825.6,67345.1,66380,66108.5,66413.6,22.05,25.41,25.56,25.13,24.91,246789,245557,244646,253961,250043,637416,552730,482984,505155,557882,0,0,0,0,0,2218.8,1959.7,1697.6,1736.5,1857.5,3.48,3.55,3.51,3.44,3.33,788887,768009,752941,757189,771379,24459.8,23880.2,23028.6,22678.3,24339.3,31.01,31.09,30.58,29.95,31.55,3491560,3357837,3327632,3273949,3350291,9516,9799,10056,10056,10056,0,0,0,0,0,1731,1769,1432,2425,2010,177,182,151,254,211,1180462,1235953,1348390,1245287,1246670,7967.6,7700.7,6982.5,6852.9,7468,6.91,6.33,5.27,5.59,6.04,20915,19205,17524,16807,16502,606.1,605.1,466.2,448.1,481.4,28.98,31.51,26.6,26.66,29.18,835578.5,18801310,18852220,19107900,19355257,19600311,19893297,104,1
GA,Georgia,3,5,1,0,3100144,2982837,2767491,2782782,2850990,561796,549483,555238,581082,597955,37231.8,42315.7,39837.2,39938.5,39727.8,18.25,21.49,21.73,21.37,20.95,204742,210583,207725,233509,252985,767906,634756,435546,426184,482657,0,0,0,0,0,2993.6,2400.3,1529.9,1371.6,1521.1,3.9,3.78,3.51,3.22,3.15,479971,465298,446900,445257,463315,12409.5,13108.5,12274.7,12647.6,13613.7,26.07,28.17,27.47,28.41,29.38,2324200,2142535,1946907,1928374,1985059,300,291,315,315,315,0,0,0,0,0,32407,26282,21281,35431,29142,3322,2705,2236,3714,3064,541691,532310,625008,635287,666771,4545.8,4165.2,3830.1,4417.7,4963.1,8.66,7.98,6.23,7.06,7.52,22767,18607,20507,17424,19087,561.3,503.2,527.1,433.8,517.8,24.68,27.04,25.7,24.9,27.13,471879.5,9687653,9714464,9813201,9919000,9994759,10097343,61,0
